Date,Data Source,Model,Camera,Include Params,Epochs,Min Loss,Traininig Samples,Validation Samples,Time (s),Comments,
01/11/17 01:04 PM,['udc_data'],model4,"(0.005, ['center'])","(0.01, 15)",8,0.0125793965,2968,1272,161,Failed at turn, very steady until then
01/11/17 01:09 PM,['udc_data'],model4,"(0.005, ['center'])","(0.01, 15)",6,0.0121952413,2975,1276,123,Failed coming off the bridge,
01/11/17 01:19 PM,['udc_data'],model5,"(0.005, ['center'])","(0.01, 15)",6,0.0124316618,2988,1281,122,Worked! 3 full laps!,
01/11/17 01:34 PM,['udc_data'],model5,"(0.005, ['left', 'center', 'right'])","(0.01, 15)",5,0.0134639598,8883,3807,358,failed just past the big curve,
01/11/17 01:42 PM,['udc_data'],model5,"(0.0025, ['left', 'center', 'right'])","(0.01, 15)",4,0.0140331914,9004,3860,293,got stuck on the bridge,
01/11/17 01:51 PM,['udc_data'],model5,"(0.0025, ['left', 'center', 'right'])","(0.015, 10)",5,0.0133114087,8305,3560,331,failed on the right before the bridge,
01/11/17 02:00 PM,"['drive_data_2', 'drive_data_recover']",model5,"(0.0025, ['center'])","(0.01, 15)",4,0.0024857564,8178,3506,263,failed at the big turn,
01/11/17 03:59 PM,"[('drive_data_center', [('center', 0.0)]), ('drive_data_left', [('center', 0.01)]), ('drive_data_left', [('center', -0.01)])]",model5,,,7,0.0064333339,2337,1002,112,worked! Went around several times,
01/11/17 04:11 PM,"[('drive_data_center', [('center', 0.0)]), ('drive_data_left', [('center', 0.1)]), ('drive_data_right', [('center', -0.1)])]",model5,,,8,0.0031556443,2394,1027,132,,
01/11/17 05:16 PM,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.1), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.1), ('right', -0.3)])]",model5,,,13,0.0027612302,7184,3079,733,worked! Not as smooth as I had hoped,
2017-01-11 17:54:02.295892,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.2), ('center', 0.1), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.1), ('right', -0.2)])]",model5,,,4,0.0036619208,7184,3079,241,,
2017-01-11 18:11:57.216225,"[('drive_data_center', [('center', 0.0)]), ('drive_data_left', [('center', 0.1)]), ('drive_data_right', [('center', -0.1)])]",model5,,,7,0.0031890773,4123,1767,216,,
2017-01-12 07:40:02.511021,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.2), ('center', 0.1), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.1), ('right', -0.2)])]",model5,,,3,0.0037050171,12369,5301,313,,
2017-01-12 07:54:13.287152,"[('drive_data_center', [('left', 0.1), ('center', 0.0), ('right', -0.1)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.1)]), ('drive_data_right', [('left', -0.1), ('center', -0.2), ('right', -0.3)])]",model5,,,6,0.0034081792,12369,5301,601,,
2017-01-12 08:00:13.685850,"[('drive_data_center', [('left', 0.1), ('center', 0.0), ('right', -0.1)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.1)]), ('drive_data_right', [('left', -0.1), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.1, 15)",5,0.0079234318,4132,1772,151,failed after the first turn,
2017-01-12 08:19:31.023699,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.1, 20)",6,0.0075886784,4565,1957,201,worked, hit curb once or twice
2017-01-12 08:28:53.158375,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.3, 20)",7,0.0084462498,2648,1135,123,,
2017-01-12 10:31:30.474308,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.3, 20)",7,0.0086085661,3937,1688,201,added more data , failed before bridge
2017-01-12 10:39:27.592834,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.1, 20)",4,0.0083167178,6801,2916,214,failed after the big turn,
2017-01-12 10:51:39.490145,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.05, 20)",4,0.0060745932,9235,3959,298,failed at the end of a lap,
2017-01-12 11:14:31.520375,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.02, 20)",4,0.0057438764,11270,4831,368,worked!,
2017-01-12 11:47:59.019468,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.1), ('center', 0.075), ('right', 0.03)]), ('drive_data_right', [('left', -0.03), ('center', -0.075), ('right', -0.1)])]",model5,,"(0.02, 20)",4,0.0042728727,11291,4840,369,failed on the big turn,
2017-01-12 11:56:58.207636,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.1), ('center', 0.075), ('right', 0.03)]), ('drive_data_right', [('left', -0.03), ('center', -0.075), ('right', -0.1)])]",model5,,"(0.02, 10)",4,0.0045964749,10359,4440,339,failed at the big turn,
2017-01-12 12:06:27.606485,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.2), ('center', 0.1), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.1), ('right', -0.2)])]",model5,,"(0.02, 15)",4,0.0042637085,10825,4640,351,failed after the big turn,
2017-01-12 12:15:56.575843,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.02, 20)",3,0.0058251707,11274,4833,276,failed after the big turn,
2017-01-12 12:36:50.606134,"[('drive_data_center', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.02, 15)",4,0.0060872061,14219,6094,473,failed after the big turn,
2017-01-12 17:52:24.902239,"[('drive_data_center', [('left', 0.03), ('center', 0.0), ('right', -0.03)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.01, 15)",6,0.0052558401,15260,6541,774,failed after the big turn,
2017-01-12 18:07:34.616853,"[('drive_data_center', [('left', 0.03), ('center', 0.0), ('right', -0.03)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.01, 15)",5,0.004811541,15264,6543,639,worked a cuts it close,
2017-01-12 18:37:55.453836,"[('drive_data_center', [('left', 0.03), ('center', 0.0), ('right', -0.03)]), ('drive_data_left', [('left', 0.3), ('center', 0.2), ('right', 0.05)]), ('drive_data_right', [('left', -0.05), ('center', -0.2), ('right', -0.3)])]",model5,,"(0.01, 15)",4,0.005558914,15243,6534,502,,
2017-01-13 12:58:57.364850,"[('drive_data_center_2', [('center', 0.0)]), ('drive_data_left_2', [('center', 0.3)]), ('drive_data_right_2', [('center', -0.3)])]",model5,,"(0.01, 15)",4,0.0057296844,6148,2635,216,worked best yet! Very smooth,
2017-01-13 13:11:31.957451,"[('drive_data_center_2', [('center', 0.0)]), ('drive_data_left_2', [('center', 0.3)]), ('drive_data_right_2', [('center', -0.3)])]",model4,,"(0.01, 15)",4,0.0064103369,6128,2627,194,worked best yet! Very smooth,it_worked_3.json
2017-01-14 11:25:10.428421,"[('drive_data_center_2', [('left', 0.1), ('center', 0.0), ('right', -0.1)]), ('drive_data_left_2', [('left', 0.35), ('center', 0.3), ('right', 0.2)]), ('drive_data_right_2', [('left', -0.35), ('center', -0.3), ('right', -0.2)])]",model4,,"(0.01, 15)",3,0.011026586,18318,7851,461,failed after the big turn,
2017-01-14 11:38:52.167706,"[('drive_data_center_2', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left_2', [('left', 0.15), ('center', 0.1), ('right', 0.05)]), ('drive_data_right_2', [('left', -0.05), ('center', -0.1), ('right', -0.15)])]",model4,,"(0.01, 15)",3,0.0051318613,18471,7917,459,failed on the big turn,
2017-01-14 11:57:26.652063,"[('drive_data_center_2', [('left', 0.01), ('center', 0.0), ('right', -0.01)]), ('drive_data_left_2', [('left', 0.3), ('center', 0.25), ('right', 0.05)]), ('drive_data_right_2', [('left', -0.05), ('center', -0.25), ('right', -0.3)])]",model4,,"(0.01, 15)",6,0.0056416766,18391,7883,914,failed on the big turn,
2017-01-14 12:09:32.115499,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model5,,"(0.01, 15)",3,0.0057108213,18303,7845,462,worked very well best yet,it_worked_4.json
2017-01-14 13:24:05.993628,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model7,,"(0.01, 15)",20,0.010660478,18312,7848,3080,"worked, but not great",
2017-01-14 16:39:10.904274,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model6,,"(0.01, 15)",8,0.0052668851,18293,7840,1420,worked pretty well,
2017-01-15 09:25:22.080202,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model7,,"(0.01, 15)",19,0.0101755807,18414,7893,2950,worked but not the best â€“ hit lane lines a few times,
2017-01-15 12:36:59.534113,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model5,,"(0.01, 15)",5,0.0047513474,18446,7906,774,worked until after the big curve,
2017-01-15 12:50:18.845571,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model5,,"(0.01, 15)",3,0.0053623794,18425,7897,477,great!,final.json
2017-01-15 13:42:52.599402,"[('drive_data_center_2', [('left', 0.05), ('center', 0.0), ('right', -0.05)]), ('drive_data_left_2', [('left', 0.32), ('center', 0.3), ('right', 0.25)]), ('drive_data_right_2', [('left', -0.25), ('center', -0.3), ('right', -0.32)])]",model6,,"(0.01, 15)",8,0.00718430385576,18349,7865,1.25e+03
